Assessment Name,URL,Duration,Remote Testing Support,Adaptive/IRT,Test Type,Skills,Description
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Approximate Completion Time in minutes = 30,Yes,No,K,"Professional Individual Contributor,  Mid-Professional, ","The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security."
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Approximate Completion Time in minutes = 17,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas."
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Approximate Completion Time in minutes = 5,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start."
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Approximate Completion Time in minutes = 11,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF."
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Approximate Completion Time in minutes = 9,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications."
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Approximate Completion Time in minutes = 5,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts."
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Approximate Completion Time in minutes = 9,Yes,No,K,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ","Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries."
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Approximate Completion Time in minutes = 8,Yes,No,S,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ",Simulated data entry test that measures the ability to process payables and vendor invoices.
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Approximate Completion Time in minutes = 13,Yes,No,K,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ",Multiple-choice test that measures the knowledge of processing receivables and invoices.
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Approximate Completion Time in minutes = 8,Yes,No,S,"Entry-Level,  Graduate,  Mid-Professional,  Professional Individual Contributor, ",Simulated data entry test that measures the ability to process receivables and invoices.
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Approximate Completion Time in minutes = 10,Yes,No,K,"Mid-Professional,  Professional Individual Contributor, ","Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects."
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Approximate Completion Time in minutes = 49,Yes,No,"C
P
A
B","Mid-Professional, ","The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available."
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Approximate Completion Time in minutes = 36,Yes,No,"A
K
P","Entry-Level, ","The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate."
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Approximate Completion Time in minutes = 51,Yes,No,"A
B
P
S","Front Line Manager,  Manager,  Supervisor, ","The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available."
